repo,file,line,rule_id,message,verdict
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/trust.py,53,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/trust.py,77,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/trust.py,99,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/trust.py,133,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/trust.py,137,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/trust.py,147,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/trust.py,154,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/trust.py,161,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/trust.py,165,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/trust.py,168,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/trust.py,169,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/trust.py,178,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/trust.py,185,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/llms/llama-index-llms-cleanlab/llama_index/llms/cleanlab/base.py,105,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/llms/llama-index-llms-cleanlab/llama_index/llms/cleanlab/base.py,109,EU-AIA-005a,Potential social scoring implementation,
litellm,tests/test_litellm/proxy/list_api/test_list_framework.py,885,EU-AIA-005b,Real-time biometric identification in public spaces,
mem0,cli/python/tests/test_init_internals.py,13,EU-AIA-005b,Real-time biometric identification in public spaces,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,35,EU-AIA-005c,Emotion recognition in workplace or education,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,37,EU-AIA-005c,Emotion recognition in workplace or education,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,40,EU-AIA-005c,Emotion recognition in workplace or education,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,42,EU-AIA-005c,Emotion recognition in workplace or education,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,45,EU-AIA-005c,Emotion recognition in workplace or education,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,47,EU-AIA-005c,Emotion recognition in workplace or education,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,50,EU-AIA-005c,Emotion recognition in workplace or education,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,52,EU-AIA-005c,Emotion recognition in workplace or education,
litellm,tests/test_litellm/integrations/test_custom_guardrail.py,1734,EU-AIA-005c,Emotion recognition in workplace or education,
AutoGPT,autogpt_platform/backend/backend/api/features/admin/execution_analytics_routes.py,1,EU-AIA-009a,No risk management system detected,
AutoGPT,autogpt_platform/backend/backend/api/features/admin/execution_analytics_routes_test.py,1,EU-AIA-009a,No risk management system detected,
ChatDev,entity/configs/node/agent.py,1,EU-AIA-009a,No risk management system detected,
ChatDev,entity/configs/node/memory.py,1,EU-AIA-009a,No risk management system detected,
FastChat,fastchat/constants.py,1,EU-AIA-009a,No risk management system detected,
FastChat,fastchat/conversation.py,1,EU-AIA-009a,No risk management system detected,
MetaGPT,examples/aflow/optimize.py,1,EU-AIA-009a,No risk management system detected,
MetaGPT,examples/dalle_gpt4v_agent.py,1,EU-AIA-009a,No risk management system detected,
autogen,python/packages/agbench/benchmarks/GAIA/Templates/ParallelAgents/scenario.py,1,EU-AIA-009a,No risk management system detected,
autogen,python/packages/agbench/benchmarks/GAIA/Templates/SelectorGroupChat/scenario.py,1,EU-AIA-009a,No risk management system detected,
babyagi,babyagi/functionz/packs/default/ai_functions.py,1,EU-AIA-009a,No risk management system detected,
babyagi,babyagi/functionz/packs/default/function_calling_chat.py,1,EU-AIA-009a,No risk management system detected,
chainlit,backend/chainlit/__init__.py,1,EU-AIA-009a,No risk management system detected,
chainlit,backend/chainlit/cache.py,1,EU-AIA-009a,No risk management system detected,
crewAI,conftest.py,1,EU-AIA-009a,No risk management system detected,
crewAI,lib/cli/src/crewai_cli/cli.py,1,EU-AIA-009a,No risk management system detected,
dspy,docs/docs/tutorials/dataframe_rlm/cohort_analysis/dataframe.py,1,EU-AIA-009a,No risk management system detected,
dspy,docs/scripts/generate_api_docs.py,1,EU-AIA-009a,No risk management system detected,
gpt-engineer,docs/create_api_rst.py,1,EU-AIA-009a,No risk management system detected,
gpt-engineer,docs/examples/open_llms/langchain_interface.py,1,EU-AIA-009a,No risk management system detected,
gpt-researcher,backend/chat/chat.py,1,EU-AIA-009a,No risk management system detected,
gpt-researcher,backend/report_type/deep_research/example.py,1,EU-AIA-009a,No risk management system detected,
guidance,guidance/_ast.py,1,EU-AIA-009a,No risk management system detected,
guidance,guidance/_grammar.py,1,EU-AIA-009a,No risk management system detected,
haystack,.github/utils/docs_search_sync.py,1,EU-AIA-009a,No risk management system detected,
haystack,e2e/pipelines/test_evaluation_pipeline.py,1,EU-AIA-009a,No risk management system detected,
langchain,.github/scripts/check_diff.py,1,EU-AIA-009a,No risk management system detected,
langchain,.github/scripts/get_min_versions.py,1,EU-AIA-009a,No risk management system detected,
litellm,.github/scripts/_agent_shin_actions.py,1,EU-AIA-009a,No risk management system detected,
litellm,.github/scripts/agent_shin_shared.py,1,EU-AIA-009a,No risk management system detected,
llama_index,docs/scripts/prepare_for_build.py,1,EU-AIA-009a,No risk management system detected,
llama_index,llama-dev/tests/test_utils.py,1,EU-AIA-009a,No risk management system detected,
marvin,examples/deepseek_chat.py,1,EU-AIA-009a,No risk management system detected,
marvin,examples/prefect_observability/example.py,1,EU-AIA-009a,No risk management system detected,
mem0,cli/python/src/mem0_cli/agent_detect.py,1,EU-AIA-009a,No risk management system detected,
mem0,cli/python/src/mem0_cli/app.py,1,EU-AIA-009a,No risk management system detected,
private-gpt,private_gpt/arq/tasks/chat/resume.py,1,EU-AIA-009a,No risk management system detected,
private-gpt,private_gpt/celery/tasks/tools/tool_run_task.py,1,EU-AIA-009a,No risk management system detected,
ragas,docs/alfred.py,1,EU-AIA-009a,No risk management system detected,
ragas,examples/iterate_prompt/evals.py,1,EU-AIA-009a,No risk management system detected,
AutoGPT,autogpt_platform/backend/backend/api/middleware/security.py,45,EU-AIA-010a,Hardcoded dataset path in AI training code,
AutoGPT,autogpt_platform/backend/backend/api/middleware/security.py,48,EU-AIA-010a,Hardcoded dataset path in AI training code,
AutoGPT,autogpt_platform/backend/backend/blocks/sql_query_block_test.py,130,EU-AIA-010a,Hardcoded dataset path in AI training code,
AutoGPT,autogpt_platform/backend/backend/blocks/sql_query_block_test.py,1451,EU-AIA-010a,Hardcoded dataset path in AI training code,
MetaGPT,metagpt/actions/design_api.py,96,EU-AIA-010a,Hardcoded dataset path in AI training code,
MetaGPT,metagpt/actions/design_api.py,101,EU-AIA-010a,Hardcoded dataset path in AI training code,
MetaGPT,metagpt/actions/design_api.py,102,EU-AIA-010a,Hardcoded dataset path in AI training code,
MetaGPT,metagpt/actions/design_api.py,106,EU-AIA-010a,Hardcoded dataset path in AI training code,
autogen,python/packages/autogen-ext/src/autogen_ext/agents/azure/_azure_ai_agent.py,265,EU-AIA-010a,Hardcoded dataset path in AI training code,
autogen,python/packages/autogen-studio/tests/test_lite_studio.py,76,EU-AIA-010a,Hardcoded dataset path in AI training code,
autogen,python/packages/autogen-studio/tests/test_lite_studio.py,93,EU-AIA-010a,Hardcoded dataset path in AI training code,
chainlit,backend/tests/test_mcp.py,449,EU-AIA-010a,Hardcoded dataset path in AI training code,
chainlit,backend/tests/test_mcp.py,456,EU-AIA-010a,Hardcoded dataset path in AI training code,
crewAI,lib/crewai-tools/tests/tools/test_nl2sql_security.py,495,EU-AIA-010a,Hardcoded dataset path in AI training code,
crewAI,lib/crewai/src/crewai/a2a/config.py,224,EU-AIA-010a,Hardcoded dataset path in AI training code,
crewAI,lib/crewai/src/crewai/a2a/utils/agent_card.py,245,EU-AIA-010a,Hardcoded dataset path in AI training code,
gpt-researcher,backend/server/app.py,162,EU-AIA-010a,Hardcoded dataset path in AI training code,
gpt-researcher,tests/test_agent_discovery.py,50,EU-AIA-010a,Hardcoded dataset path in AI training code,
guidance,tests/unit/library/json/test_refs.py,556,EU-AIA-010a,Hardcoded dataset path in AI training code,
guidance,tests/unit/library/json/test_refs.py,897,EU-AIA-010a,Hardcoded dataset path in AI training code,
haystack,test/document_stores/test_in_memory.py,177,EU-AIA-010a,Hardcoded dataset path in AI training code,
haystack,test/document_stores/test_in_memory.py,194,EU-AIA-010a,Hardcoded dataset path in AI training code,
langchain,libs/text-splitters/tests/unit_tests/test_text_splitters.py,3595,EU-AIA-010a,Hardcoded dataset path in AI training code,
langchain,libs/text-splitters/tests/unit_tests/test_text_splitters.py,3598,EU-AIA-010a,Hardcoded dataset path in AI training code,
langchain,libs/text-splitters/tests/unit_tests/test_text_splitters.py,3610,EU-AIA-010a,Hardcoded dataset path in AI training code,
litellm,backend/routes/allowlist.py,145,EU-AIA-010a,Hardcoded dataset path in AI training code,
litellm,gateway/routes/allowlist.py,119,EU-AIA-010a,Hardcoded dataset path in AI training code,
litellm,litellm/a2a_protocol/card_resolver.py,18,EU-AIA-010a,Hardcoded dataset path in AI training code,
llama_index,llama-index-integrations/readers/llama-index-readers-sec-filings/llama_index/readers/sec_filings/prepline_sec_filings/api/app.py,19,EU-AIA-010a,Hardcoded dataset path in AI training code,
llama_index,llama-index-integrations/tools/llama-index-tools-google/tests/test_tools_google.py,95,EU-AIA-010a,Hardcoded dataset path in AI training code,
llama_index,llama-index-integrations/tools/llama-index-tools-google/tests/test_tools_google.py,96,EU-AIA-010a,Hardcoded dataset path in AI training code,
mem0,cli/python/tests/test_cli_integration.py,246,EU-AIA-010a,Hardcoded dataset path in AI training code,
mem0,cli/python/tests/test_commands.py,943,EU-AIA-010a,Hardcoded dataset path in AI training code,
mem0,integrations/claude-code-plugin/tests/test_memory_core.py,2104,EU-AIA-010a,Hardcoded dataset path in AI training code,
private-gpt,private_gpt/settings/settings.py,93,EU-AIA-010a,Hardcoded dataset path in AI training code,
private-gpt,tests/components/tools/test_code_execution_builders.py,258,EU-AIA-010a,Hardcoded dataset path in AI training code,
private-gpt,tests/models/anthropic/test_openapi_schema.py,244,EU-AIA-010a,Hardcoded dataset path in AI training code,
ragas,tests/unit/backends/test_gdrive_backend.py,82,EU-AIA-010a,Hardcoded dataset path in AI training code,
ragas,tests/unit/backends/test_gdrive_backend.py,122,EU-AIA-010a,Hardcoded dataset path in AI training code,
ragas,tests/unit/backends/test_gdrive_backend.py,138,EU-AIA-010a,Hardcoded dataset path in AI training code,
AutoGPT,autogpt_platform/backend/backend/copilot/anthropic_rate_card.py,51,EU-AIA-010b,No bias or fairness check in training pipeline,
FastChat,fastchat/data/hardcoded_questions.py,127,EU-AIA-010b,No bias or fairness check in training pipeline,
FastChat,fastchat/model/model_registry.py,526,EU-AIA-010b,No bias or fairness check in training pipeline,
FastChat,fastchat/protocol/api_protocol.py,24,EU-AIA-010b,No bias or fairness check in training pipeline,
FastChat,fastchat/protocol/openai_api_protocol.py,24,EU-AIA-010b,No bias or fairness check in training pipeline,
FastChat,fastchat/serve/monitor/topic_clustering.py,110,EU-AIA-010b,No bias or fairness check in training pipeline,
FastChat,fastchat/train/train.py,304,EU-AIA-010b,No bias or fairness check in training pipeline,
FastChat,fastchat/train/train_baichuan.py,325,EU-AIA-010b,No bias or fairness check in training pipeline,
FastChat,fastchat/train/train_flant5.py,428,EU-AIA-010b,No bias or fairness check in training pipeline,
MetaGPT,metagpt/ext/sela/runner/autogluon.py,31,EU-AIA-010b,No bias or fairness check in training pipeline,
MetaGPT,metagpt/ext/sela/runner/autosklearn.py,64,EU-AIA-010b,No bias or fairness check in training pipeline,
MetaGPT,metagpt/tools/libs/data_preprocess.py,56,EU-AIA-010b,No bias or fairness check in training pipeline,
crewAI,lib/cli/src/crewai_cli/model_catalog.py,234,EU-AIA-010b,No bias or fairness check in training pipeline,
crewAI,lib/cli/tests/test_model_catalog.py,176,EU-AIA-010b,No bias or fairness check in training pipeline,
crewAI,lib/crewai/tests/test_llm.py,909,EU-AIA-010b,No bias or fairness check in training pipeline,
dspy,docs/scripts/generate_api_docs.py,80,EU-AIA-010b,No bias or fairness check in training pipeline,
dspy,dspy/adapters/chat_adapter.py,277,EU-AIA-010b,No bias or fairness check in training pipeline,
dspy,dspy/adapters/json_adapter.py,226,EU-AIA-010b,No bias or fairness check in training pipeline,
dspy,dspy/clients/databricks.py,11,EU-AIA-010b,No bias or fairness check in training pipeline,
dspy,dspy/clients/lm.py,18,EU-AIA-010b,No bias or fairness check in training pipeline,
dspy,dspy/clients/openai.py,8,EU-AIA-010b,No bias or fairness check in training pipeline,
dspy,dspy/clients/provider.py,6,EU-AIA-010b,No bias or fairness check in training pipeline,
dspy,dspy/clients/utils_finetune.py,64,EU-AIA-010b,No bias or fairness check in training pipeline,
langchain,libs/langchain/langchain_classic/adapters/openai.py,18,EU-AIA-010b,No bias or fairness check in training pipeline,
litellm,enterprise/litellm_enterprise/proxy/hooks/managed_files.py,79,EU-AIA-010b,No bias or fairness check in training pipeline,
litellm,gateway/routes/allowlist.py,35,EU-AIA-010b,No bias or fairness check in training pipeline,
litellm,litellm/__init__.py,713,EU-AIA-010b,No bias or fairness check in training pipeline,
litellm,litellm/fine_tuning/main.py,6,EU-AIA-010b,No bias or fairness check in training pipeline,
litellm,litellm/integrations/arize/_utils.py,359,EU-AIA-010b,No bias or fairness check in training pipeline,
litellm,litellm/integrations/datadog/datadog_llm_obs.py,437,EU-AIA-010b,No bias or fairness check in training pipeline,
litellm,litellm/llms/azure/fine_tuning/handler.py,9,EU-AIA-010b,No bias or fairness check in training pipeline,
litellm,litellm/llms/openai/fine_tuning/handler.py,8,EU-AIA-010b,No bias or fairness check in training pipeline,
llama_index,docs/scripts/prepare_for_build.py,30,EU-AIA-010b,No bias or fairness check in training pipeline,
llama_index,llama-index-core/llama_index/core/indices/query/embedding_utils.py,88,EU-AIA-010b,No bias or fairness check in training pipeline,
llama_index,llama-index-integrations/embeddings/llama-index-embeddings-adapter/llama_index/embeddings/adapter/base.py,21,EU-AIA-010b,No bias or fairness check in training pipeline,
llama_index,llama-index-integrations/llms/llama-index-llms-anyscale/llama_index/llms/anyscale/utils.py,54,EU-AIA-010b,No bias or fairness check in training pipeline,
llama_index,llama-index-integrations/llms/llama-index-llms-litellm/llama_index/llms/litellm/utils.py,111,EU-AIA-010b,No bias or fairness check in training pipeline,
llama_index,llama-index-integrations/llms/llama-index-llms-mistralai/llama_index/llms/mistralai/utils.py,78,EU-AIA-010b,No bias or fairness check in training pipeline,
llama_index,llama-index-integrations/llms/llama-index-llms-octoai/llama_index/llms/octoai/utils.py,20,EU-AIA-010b,No bias or fairness check in training pipeline,
ragas,examples/ragas_examples/rag_eval/rag.py,148,EU-AIA-010b,No bias or fairness check in training pipeline,
AutoGPT,autogpt_platform/backend/backend/api/features/admin/execution_analytics_routes.py,78,EU-AIA-011a,AI component missing technical documentation (docstring),
AutoGPT,autogpt_platform/backend/backend/blocks/ai_image_customizer.py,27,EU-AIA-011a,AI component missing technical documentation (docstring),
AutoGPT,autogpt_platform/backend/backend/blocks/ai_music_generator.py,42,EU-AIA-011a,AI component missing technical documentation (docstring),
ChatDev,runtime/node/agent/skills/manager.py,23,EU-AIA-011a,AI component missing technical documentation (docstring),
ChatDev,schema_registry/registry.py,57,EU-AIA-011a,AI component missing technical documentation (docstring),
ChatDev,tests/test_mem0_memory.py,332,EU-AIA-011a,AI component missing technical documentation (docstring),
FastChat,fastchat/model/rwkv_model.py,14,EU-AIA-011a,AI component missing technical documentation (docstring),
FastChat,fastchat/modules/exllama.py,12,EU-AIA-011a,AI component missing technical documentation (docstring),
FastChat,fastchat/modules/xfastertransformer.py,18,EU-AIA-011a,AI component missing technical documentation (docstring),
MetaGPT,metagpt/actions/action_node.py,46,EU-AIA-011a,AI component missing technical documentation (docstring),
MetaGPT,metagpt/configs/llm_config.py,19,EU-AIA-011a,AI component missing technical documentation (docstring),
MetaGPT,metagpt/exp_pool/scorers/base.py,10,EU-AIA-011a,AI component missing technical documentation (docstring),
autogen,python/packages/autogen-core/src/autogen_core/logging.py,10,EU-AIA-011a,AI component missing technical documentation (docstring),
autogen,python/packages/autogen-core/src/autogen_core/logging.py,107,EU-AIA-011a,AI component missing technical documentation (docstring),
autogen,python/packages/autogen-core/src/autogen_core/models/_model_client.py,158,EU-AIA-011a,AI component missing technical documentation (docstring),
crewAI,lib/crewai-tools/src/crewai_tools/tools/brave_search_tool/response_types.py,39,EU-AIA-011a,AI component missing technical documentation (docstring),
crewAI,lib/crewai-tools/src/crewai_tools/tools/brave_search_tool/response_types.py,40,EU-AIA-011a,AI component missing technical documentation (docstring),
crewAI,lib/crewai-tools/src/crewai_tools/tools/brave_search_tool/response_types.py,45,EU-AIA-011a,AI component missing technical documentation (docstring),
dspy,dspy/dsp/colbertv2.py,189,EU-AIA-011a,AI component missing technical documentation (docstring),
dspy,dspy/teleprompt/gepa/gepa_utils.py,69,EU-AIA-011a,AI component missing technical documentation (docstring),
gpt-researcher,gpt_researcher/llm_provider/generic/base.py,116,EU-AIA-011a,AI component missing technical documentation (docstring),
gpt-researcher,tests/test_llm_usage_tracking.py,14,EU-AIA-011a,AI component missing technical documentation (docstring),
guidance,guidance/chat.py,211,EU-AIA-011a,AI component missing technical documentation (docstring),
guidance,guidance/models/_base/_model.py,58,EU-AIA-011a,AI component missing technical documentation (docstring),
haystack,haystack/core/errors.py,10,EU-AIA-011a,AI component missing technical documentation (docstring),
haystack,haystack/core/errors.py,14,EU-AIA-011a,AI component missing technical documentation (docstring),
langchain,libs/core/tests/unit_tests/_api/test_beta_decorator.py,359,EU-AIA-011a,AI component missing technical documentation (docstring),
langchain,libs/core/tests/unit_tests/_api/test_deprecation.py,412,EU-AIA-011a,AI component missing technical documentation (docstring),
litellm,cookbook/mock_guardrail_server/mock_bedrock_guardrail_server.py,391,EU-AIA-011a,AI component missing technical documentation (docstring),
litellm,cookbook/mock_guardrail_server/mock_bedrock_guardrail_server.py,404,EU-AIA-011a,AI component missing technical documentation (docstring),
llama_index,llama-index-core/llama_index/core/base/llms/types.py,1327,EU-AIA-011a,AI component missing technical documentation (docstring),
llama_index,llama-index-core/llama_index/core/llms/mock.py,59,EU-AIA-011a,AI component missing technical documentation (docstring),
marvin,examples/english_to_schema.py,20,EU-AIA-011a,AI component missing technical documentation (docstring),
marvin,src/marvin/database.py,270,EU-AIA-011a,AI component missing technical documentation (docstring),
mem0,mem0/llms/anthropic.py,14,EU-AIA-011a,AI component missing technical documentation (docstring),
mem0,mem0/llms/azure_openai.py,17,EU-AIA-011a,AI component missing technical documentation (docstring),
private-gpt,private_gpt/artifact_index/artifact_exception.py,12,EU-AIA-011a,AI component missing technical documentation (docstring),
private-gpt,private_gpt/chat/input_models.py,1457,EU-AIA-011a,AI component missing technical documentation (docstring),
ragas,src/ragas/_analytics.py,240,EU-AIA-011a,AI component missing technical documentation (docstring),
ragas,src/ragas/llms/base.py,57,EU-AIA-011a,AI component missing technical documentation (docstring),
AutoGPT,autogpt_platform/backend/backend/api/features/onboarding_dump/intro_test.py,29,EU-AIA-012a,LLM call without audit logging,
AutoGPT,autogpt_platform/backend/backend/api/features/onboarding_dump/intro_test.py,49,EU-AIA-012a,LLM call without audit logging,
AutoGPT,autogpt_platform/backend/backend/api/features/onboarding_dump/intro_test.py,70,EU-AIA-012a,LLM call without audit logging,
AutoGPT,autogpt_platform/backend/backend/api/features/onboarding_dump/quality_test.py,36,EU-AIA-012a,LLM call without audit logging,
ChatDev,runtime/node/agent/providers/openai_provider.py,54,EU-AIA-012a,LLM call without audit logging,
FastChat,fastchat/llm_judge/common.py,407,EU-AIA-012a,LLM call without audit logging,
FastChat,fastchat/llm_judge/common.py,431,EU-AIA-012a,LLM call without audit logging,
FastChat,fastchat/serve/monitor/classify/label.py,45,EU-AIA-012a,LLM call without audit logging,
FastChat,fastchat/serve/monitor/classify/label.py,92,EU-AIA-012a,LLM call without audit logging,
MetaGPT,metagpt/provider/anthropic_api.py,52,EU-AIA-012a,LLM call without audit logging,
MetaGPT,metagpt/provider/anthropic_api.py,60,EU-AIA-012a,LLM call without audit logging,
MetaGPT,metagpt/provider/ark_api.py,74,EU-AIA-012a,LLM call without audit logging,
autogen,python/packages/autogen-ext/src/autogen_ext/agents/azure/_azure_ai_agent.py,865,EU-AIA-012a,LLM call without audit logging,
autogen,python/packages/autogen-ext/src/autogen_ext/agents/openai/_openai_assistant_agent.py,521,EU-AIA-012a,LLM call without audit logging,
autogen,python/packages/autogen-ext/src/autogen_ext/models/openai/_openai_client.py,1082,EU-AIA-012a,LLM call without audit logging,
crewAI,lib/crewai-tools/src/crewai_tools/aws/bedrock/agents/invoke_agent_tool.py,37,EU-AIA-012a,LLM call without audit logging,
crewAI,lib/crewai-tools/src/crewai_tools/aws/bedrock/agents/invoke_agent_tool.py,92,EU-AIA-012a,LLM call without audit logging,
crewAI,lib/crewai-tools/src/crewai_tools/tools/ai_mind_tool/ai_mind_tool.py,84,EU-AIA-012a,LLM call without audit logging,
guidance,guidance/models/_openai_base.py,232,EU-AIA-012a,LLM call without audit logging,
haystack,test/components/generators/chat/test_openai.py,1066,EU-AIA-012a,LLM call without audit logging,
haystack,test/components/generators/chat/test_openai_async.py,447,EU-AIA-012a,LLM call without audit logging,
langchain,libs/langchain/langchain_classic/agents/openai_assistant/base.py,290,EU-AIA-012a,LLM call without audit logging,
langchain,libs/langchain/langchain_classic/agents/openai_assistant/base.py,423,EU-AIA-012a,LLM call without audit logging,
langchain,libs/partners/anthropic/langchain_anthropic/llms.py,240,EU-AIA-012a,LLM call without audit logging,
litellm,.github/scripts/triage_with_llm.py,640,EU-AIA-012a,LLM call without audit logging,
litellm,cookbook/litellm_router/load_test_proxy.py,79,EU-AIA-012a,LLM call without audit logging,
litellm,cookbook/litellm_router_load_test/test_loadtest_openai_client.py,22,EU-AIA-012a,LLM call without audit logging,
llama_index,llama-index-integrations/agent/llama-index-agent-azure/llama_index/agent/azure_foundry_agent/base.py,146,EU-AIA-012a,LLM call without audit logging,
llama_index,llama-index-integrations/agent/llama-index-agent-azure/llama_index/agent/azure_foundry_agent/base.py,285,EU-AIA-012a,LLM call without audit logging,
llama_index,llama-index-integrations/agent/llama-index-agent-azure/tests/test_azure_foundry_agent.py,367,EU-AIA-012a,LLM call without audit logging,
marvin,src/marvin/beta/observability/openai.py,149,EU-AIA-012a,LLM call without audit logging,
mem0,examples/misc/movie_recommendation_grok3.py,46,EU-AIA-012a,LLM call without audit logging,
mem0,mem0/llms/anthropic.py,97,EU-AIA-012a,LLM call without audit logging,
mem0,mem0/llms/azure_openai.py,123,EU-AIA-012a,LLM call without audit logging,
private-gpt,tests/server/chat/anthropic/test_anthropic_client.py,453,EU-AIA-012a,LLM call without audit logging,
private-gpt,tests/server/chat/anthropic/test_anthropic_client.py,552,EU-AIA-012a,LLM call without audit logging,
private-gpt,tests/server/chat/anthropic/test_anthropic_client.py,647,EU-AIA-012a,LLM call without audit logging,
ragas,examples/iterate_prompt/run_prompt.py,14,EU-AIA-012a,LLM call without audit logging,
ragas,examples/ragas_examples/benchmark_llm/prompt.py,45,EU-AIA-012a,LLM call without audit logging,
ragas,examples/ragas_examples/improve_rag/rag.py,145,EU-AIA-012a,LLM call without audit logging,
FastChat,tests/load_test.py,113,EU-AIA-012b,Audit logs may lack tamper-resistance,
MetaGPT,metagpt/ext/aflow/benchmark/humaneval.py,100,EU-AIA-012b,Audit logs may lack tamper-resistance,
MetaGPT,metagpt/ext/aflow/benchmark/mbpp.py,81,EU-AIA-012b,Audit logs may lack tamper-resistance,
llama_index,llama-index-integrations/readers/llama-index-readers-jaguar/llama_index/readers/jaguar/base.py,255,EU-AIA-012b,Audit logs may lack tamper-resistance,
llama_index,llama-index-integrations/vector_stores/llama-index-vector-stores-jaguar/llama_index/vector_stores/jaguar/base.py,497,EU-AIA-012b,Audit logs may lack tamper-resistance,
gpt-researcher,gpt_researcher/scraper/scraper.py,46,EU-AIA-013b,System prompt instructs AI to hide its nature,
AutoGPT,.github/workflows/scripts/check_actions_status.py,75,EU-AIA-014a,Fully automated high-risk decision — no human oversight,
AutoGPT,autogpt_platform/autogpt_libs/autogpt_libs/auth/dependencies.py,218,EU-AIA-014a,Fully automated high-risk decision — no human oversight,
AutoGPT,autogpt_platform/autogpt_libs/autogpt_libs/auth/jwt_utils_test.py,288,EU-AIA-014a,Fully automated high-risk decision — no human oversight,
ChatDev,runtime/node/agent/memory/file_memory.py,97,EU-AIA-014a,Fully automated high-risk decision — no human oversight,
